"Monitoring_ID","Habitat_Type","Substrate_index"
"10_0","Sandy",3
"10_1","Sandy",0
"10_2","Sandy",0
"10_3","Sandy",0
"11_0","Sandy",3.35
"11_1","Sandy",0
"11_2","Sandy",0
"11_3","Sandy",0
"12_0","Rocky",5
"12_1","Sandy",0
"12_2","Sandy",0
"12_3","Sandy",0
"13_0","Rocky",6.6
"13_1","Sandy",0
"13_2","Sandy",0
"13_3","Sandy",0
"14_0","Rocky",6.2
"14_1","Sandy",0
"14_2","Sandy",0
"14_3","Sandy",0
"15_0","Sandy",3.6
"15_1","Sandy",0
"15_2","Sandy",0
"15_3","Sandy",0
"16_0","Sandy",3.5
"16_1","Sandy",0
"16_2","Sandy",0
"16_3","Sandy",0
"17_0","Rocky",5.2
"17_1","Sandy",0
"17_2","Sandy",0
"17_3","Sandy",0
"18_0","Rocky",5.2
"18_1","Sandy",0
"18_2","Sandy",0
"18_3","Sandy",0
"19_0","Rocky",5
"19_1","Sandy",0
"19_2","Sandy",0
"19_3","Sandy",0
"20_0","Rocky",6.2
"20_1","Sandy",0
"20_2","Sandy",0
"20_3","Sandy",0
"21_0","Rocky",5.7
"21_1","Sandy",0
"21_2","Sandy",0
"21_3","Sandy",0
"22_0","Rocky",5.7
"22_1","Sandy",0
"22_2","Sandy",0
"22_3","Sandy",0
"3_0","Rocky",5.2
"3_1","Sandy",0
"3_2","Sandy",0
"3_3","Sandy",0
"4_0","Rocky",4.4
"4_1","Sandy",0
"4_2","Sandy",0
"4_3","Sandy",0
"5_0","Sandy",3
"5_1","Sandy",0
"5_2","Sandy",0
"5_3","Sandy",0
"6_0","Sandy",3
"6_1","Sandy",0
"6_2","Sandy",0
"6_3","Sandy",0
"7_0","Sandy",2.4
"7_1","Sandy",0
"7_2","Sandy",0
"7_3","Sandy",0
"8_0","Sandy",3
"8_1","Sandy",0
"8_2","Sandy",0
"8_3","Sandy",0
"9_0","Sandy",3
"9_1","Sandy",0
"9_2","Sandy",0
"9_3","Sandy",0
